Event Rate: [0.85, 0.21, 0.52, 0.73, 0.84, 0.58, 1.00, 1.00, 0.33, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 0.23, 0.98, 0.23, 0.88, 1.00]
Event Rate: [0.86, 0.22, 0.53, 0.73, 0.84, 0.58, 1.00, 1.00, 0.33, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.26, 0.23, 0.98, 0.23, 0.87, 1.00]
Event Rate: [0.85, 0.22, 0.52, 0.73, 0.83, 0.58, 1.00, 1.00, 0.33, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.23, 0.97, 0.22, 0.85, 1.00]
Event Rate: [0.86, 0.23, 0.54, 0.74, 0.84, 0.59, 1.00, 1.00, 0.34, 0.28, 0.02, 0.01, 0.00, 0.10, 0.12, 0.26, 0.24, 0.97, 0.23, 0.85, 1.00]
Event Rate: [0.85, 0.22, 0.54, 0.74, 0.84, 0.59, 1.00, 1.00, 0.33, 0.28, 0.06, 0.03, 0.01, 0.63, 1.00, 0.26, 0.24, 0.97, 0.22, 0.84, 1.00]
Event Rate: [0.85, 0.22, 0.52, 0.73, 0.83, 0.57, 1.00, 1.00, 0.33, 0.28, 0.10, 0.06, 0.03, 0.80, 1.00, 0.26, 0.23, 0.97, 0.22, 0.82, 1.00]
Event Rate: [0.85, 0.23, 0.53, 0.73, 0.83, 0.58, 1.00, 1.00, 0.33, 0.29, 0.15, 0.11, 0.07, 0.83, 1.00, 0.27, 0.24, 0.98, 0.23, 0.83, 1.00]
Event Rate: [0.89, 0.23, 0.54, 0.74, 0.84, 0.59, 1.00, 1.00, 0.34, 0.31, 0.19, 0.16, 0.11, 0.84, 1.00, 0.27, 0.25, 0.98, 0.23, 0.83, 1.00]
Event Rate: [0.89, 0.23, 0.54, 0.73, 0.84, 0.58, 1.00, 1.00, 0.34, 0.32, 0.22, 0.19, 0.15, 0.86, 1.00, 0.27, 0.24, 0.98, 0.22, 0.83, 1.00]
Event Rate: [0.89, 0.23, 0.53, 0.73, 0.83, 0.58, 1.00, 1.00, 0.33, 0.32, 0.24, 0.21, 0.18, 0.86, 1.00, 0.27, 0.24, 0.98, 0.22, 0.82, 1.00]
Event Rate: [0.88, 0.22, 0.53, 0.74, 0.84, 0.58, 1.00, 1.00, 0.33, 0.31, 0.25, 0.22, 0.18, 0.87, 1.00, 0.26, 0.24, 0.98, 0.21, 0.83, 1.00]
Event Rate: [0.88, 0.22, 0.52, 0.72, 0.83, 0.57, 1.00, 1.00, 0.32, 0.30, 0.24, 0.20, 0.17, 0.84, 1.00, 0.25, 0.23, 0.97, 0.21, 0.80, 1.00]
Event Rate: [0.89, 0.22, 0.53, 0.73, 0.84, 0.58, 1.00, 1.00, 0.31, 0.29, 0.23, 0.20, 0.17, 0.85, 1.00, 0.25, 0.23, 0.98, 0.21, 0.79, 1.00]
Event Rate: [0.89, 0.22, 0.52, 0.72, 0.83, 0.57, 1.00, 1.00, 0.31, 0.29, 0.23, 0.20, 0.17, 0.84, 1.00, 0.25, 0.23, 0.97, 0.20, 0.77, 1.00]
Event Rate: [0.88, 0.22, 0.52, 0.72, 0.83, 0.57, 1.00, 1.00, 0.30, 0.29, 0.22, 0.19, 0.16, 0.85, 1.00, 0.24, 0.23, 0.98, 0.20, 0.77, 1.00]
Event Rate: [0.89, 0.22, 0.52, 0.73, 0.83, 0.58, 1.00, 1.00, 0.31, 0.29, 0.23, 0.19, 0.17, 0.86, 1.00, 0.24, 0.23, 0.98, 0.20, 0.78, 1.00]
Event Rate: [0.88, 0.22, 0.52, 0.72, 0.82, 0.57, 1.00, 1.00, 0.30, 0.29, 0.23, 0.20, 0.18, 0.83, 1.00, 0.25, 0.23, 0.98, 0.21, 0.75, 1.00]
Event Rate: [0.88, 0.22, 0.51, 0.71, 0.82, 0.57, 1.00, 1.00, 0.30, 0.29, 0.23, 0.20, 0.18, 0.83, 1.00, 0.24, 0.22, 0.98, 0.20, 0.72, 1.00]
Event Rate: [0.88, 0.22, 0.52, 0.72, 0.82, 0.57, 1.00, 1.00, 0.30, 0.29, 0.23, 0.20, 0.18, 0.82, 1.00, 0.24, 0.23, 0.98, 0.20, 0.72, 1.00]
Event Rate: [0.88, 0.21, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.30, 0.29, 0.22, 0.19, 0.17, 0.84, 1.00, 0.24, 0.22, 0.98, 0.19, 0.73, 1.00]
Event Rate: [0.88, 0.21, 0.52, 0.72, 0.83, 0.57, 1.00, 1.00, 0.30, 0.29, 0.22, 0.19, 0.18, 0.83, 1.00, 0.24, 0.22, 0.98, 0.19, 0.72, 1.00]
Event Rate: [0.89, 0.22, 0.52, 0.72, 0.82, 0.57, 1.00, 1.00, 0.31, 0.30, 0.23, 0.20, 0.19, 0.84, 1.00, 0.25, 0.23, 0.99, 0.20, 0.73, 1.00]
Event Rate: [0.89, 0.22, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.31, 0.30, 0.24, 0.21, 0.19, 0.85, 1.00, 0.25, 0.23, 0.98, 0.21, 0.73, 1.00]
Event Rate: [0.88, 0.22, 0.52, 0.72, 0.82, 0.57, 1.00, 1.00, 0.31, 0.30, 0.23, 0.20, 0.19, 0.86, 1.00, 0.25, 0.23, 0.99, 0.20, 0.75, 1.00]
Event Rate: [0.88, 0.21, 0.50, 0.71, 0.82, 0.56, 1.00, 1.00, 0.31, 0.30, 0.23, 0.19, 0.18, 0.85, 1.00, 0.25, 0.22, 0.98, 0.20, 0.74, 1.00]
Event Rate: [0.89, 0.22, 0.52, 0.72, 0.82, 0.57, 1.00, 1.00, 0.32, 0.31, 0.23, 0.19, 0.18, 0.88, 1.00, 0.26, 0.23, 0.99, 0.21, 0.76, 1.00]
Event Rate: [0.88, 0.22, 0.51, 0.71, 0.82, 0.57, 1.00, 1.00, 0.32, 0.32, 0.24, 0.21, 0.19, 0.92, 1.00, 0.26, 0.23, 0.99, 0.21, 0.80, 1.00]
Event Rate: [0.89, 0.21, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.32, 0.31, 0.23, 0.20, 0.19, 0.91, 1.00, 0.25, 0.23, 0.99, 0.20, 0.79, 1.00]
Event Rate: [0.89, 0.22, 0.52, 0.71, 0.82, 0.57, 1.00, 1.00, 0.32, 0.31, 0.25, 0.21, 0.20, 0.90, 1.00, 0.26, 0.23, 0.99, 0.20, 0.79, 1.00]
Event Rate: [0.88, 0.22, 0.51, 0.71, 0.82, 0.57, 1.00, 1.00, 0.32, 0.31, 0.24, 0.21, 0.20, 0.92, 1.00, 0.26, 0.23, 0.99, 0.20, 0.81, 1.00]
Event Rate: [0.88, 0.22, 0.51, 0.71, 0.82, 0.57, 1.00, 1.00, 0.32, 0.31, 0.24, 0.21, 0.19, 0.91, 1.00, 0.26, 0.23, 0.99, 0.20, 0.80, 1.00]
Event Rate: [0.88, 0.22, 0.52, 0.72, 0.82, 0.57, 1.00, 1.00, 0.33, 0.32, 0.25, 0.21, 0.20, 0.94, 1.00, 0.27, 0.24, 0.99, 0.21, 0.84, 1.00]
Event Rate: [0.88, 0.22, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.33, 0.32, 0.25, 0.21, 0.20, 0.94, 1.00, 0.27, 0.23, 0.99, 0.20, 0.84, 1.00]
Event Rate: [0.87, 0.22, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.33, 0.32, 0.25, 0.22, 0.21, 0.94, 1.00, 0.27, 0.23, 0.99, 0.20, 0.85, 1.00]
Event Rate: [0.88, 0.21, 0.50, 0.70, 0.81, 0.56, 1.00, 1.00, 0.33, 0.31, 0.25, 0.22, 0.20, 0.96, 1.00, 0.26, 0.23, 0.99, 0.20, 0.87, 1.00]
Event Rate: [0.87, 0.21, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.33, 0.32, 0.25, 0.22, 0.20, 0.96, 1.00, 0.27, 0.23, 0.99, 0.20, 0.87, 1.00]
Event Rate: [0.89, 0.22, 0.51, 0.72, 0.82, 0.57, 1.00, 1.00, 0.34, 0.34, 0.27, 0.23, 0.22, 0.96, 1.00, 0.28, 0.24, 0.99, 0.21, 0.88, 1.00]
Event Rate: [0.88, 0.22, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.34, 0.33, 0.27, 0.23, 0.22, 0.96, 1.00, 0.28, 0.24, 0.99, 0.21, 0.87, 1.00]
Event Rate: [0.89, 0.21, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.34, 0.34, 0.27, 0.23, 0.22, 0.98, 1.00, 0.28, 0.24, 0.99, 0.20, 0.90, 1.00]
Event Rate: [0.88, 0.21, 0.51, 0.71, 0.82, 0.56, 1.00, 1.00, 0.34, 0.34, 0.28, 0.24, 0.22, 0.98, 1.00, 0.28, 0.24, 0.99, 0.20, 0.91, 1.00]
Event Rate: [0.90, 0.21, 0.51, 0.72, 0.83, 0.57, 1.00, 1.00, 0.34, 0.33, 0.27, 0.23, 0.21, 0.98, 1.00, 0.28, 0.24, 0.99, 0.21, 0.92, 1.00]
Event Rate: [0.89, 0.21, 0.51, 0.72, 0.82, 0.57, 1.00, 1.00, 0.34, 0.34, 0.27, 0.23, 0.21, 0.98, 1.00, 0.28, 0.24, 0.99, 0.20, 0.92, 1.00]
